name,price,description,rating,user,categoryType,conditionType,offerType
X5CXISQP0M,3806.98,VAIEXP611VANDNOUV9TQUMLEFRDYF77PCYJ5O5XVIKJZHQB7EZ,4.05,38,BEAUTY,NEW_WITHOUT_TAG,AUCTION
7PF3XLUY5H,2387.81,3HCDAP8IILK4F8ON69370FCRR203C8Y8G1NHH494QQ5LTYOU80,3.96,100,AUTOMOTIVE,NEW_WITHOUT_TAG,AUCTION
XLC0TLS9M5,2966.57,FCI4CV5F2V0O0ZRC9QQJY9B07FRIBU9Z1W3UWNSLDQNN51DEHL,1.61,11,FASHION,NEW_WITH_DEFECT,BUY_NOW
MAZFYSR3Y0,3563.26,HJSPH8YUZ52QT9CFVEPBOOWPFZKC6K890FZB372WO6Y1U6LNWU,4.83,50,FASHION,NEW_WITH_DEFECT,AUCTION
4P0M0KDES0,2267.76,VDUSMA23KATQQBITI38TETGLBIPA1TW9QHCIEYGD00S7W1VZFW,3.47,80,FASHION,USED,BUY_NOW
ABRZIYNON6,3375.65,4VBPPOQQZOVZZXFIXPDHWKNOGO00NBDHB8HYZEQBA7S1MACFKQ,3.06,53,AUTOMOTIVE,NEW_WITH_DEFECT,BUY_NOW
WAPFYIU95G,624.61,EWIWPXWQV5Q8M80Q5P8EDLMYGO95X35DO40RI13FHLLNN0BF6A,2.57,32,ART,NEW_WITHOUT_TAG,BUY_NOW
0TGE07TNZA,951.59,IYHIV7OF6PAPA6FJ4Y8UQ808UM4X1XY99LU28XDQ6YN2VUS6XJ,0.74,2,HOME_AND_GARDEN,NEW_WITHOUT_TAG,BUY_NOW
3Y8YDQI6TO,2499.86,NWQFTRYZ5DQOMV5QG0NKRF4COJWZ08K6X7T48QV0I464PKG33F,2.68,91,BEAUTY,NEW,AUCTION
3EHH2RCDOD,885.5,EUOC92MO95X7QGUHBZJ7KNN0KJC1V8EBJ3PT9SSP316MNIV5X7,1.56,43,AUTOMOTIVE,USED,BUY_NOW
